backoff_mode,WHP_min,WHP_max,FLP_min,FLP_max,BHP_min,BHP_max,binding_constraint,max_safe_rate,achieved_rate,pct_of_max_safe,violating_intervals,max_abs_move_pct
fixed 5 psi (submitted),232.1058692650338,309.48014957280725,145.3225678702516,208.91561903769139,2894.475634786225,3272.1208681698035,WHP_min,143.80462672379207,138.94150015315014,96.61824053826682,0,5.0
fixed 5 psi (submitted),196.85226368418938,321.9211798757521,147.72769257170506,213.49918690158424,2839.571672397749,3310.991926755077,FLP_min,167.3922958635355,160.77425015070475,96.04638572002976,0,5.0
fixed 5 psi (submitted),198.39043305184214,306.94117717964235,151.03065339053592,203.97029002734044,2922.4551041286095,3290.5972593478164,BHP_min,149.48774577126866,148.28757922424944,99.1971472037209,0,5.0
fixed 5 psi (submitted),220.40157787350887,317.04552425705197,150.13835191515633,213.43125163447758,2783.9976902938824,3272.4723318813194,WHP_min,154.16531913574585,149.73374339060103,97.12543925573642,0,5.0
fixed 5 psi (submitted),187.31413328011837,302.2931706275465,146.36924094414962,202.48596727928407,2911.433586018698,3253.391579582032,BHP_min,152.04519596221058,150.4388720503666,98.94352208783812,0,5.0
fixed 5 psi (submitted),202.47641830409145,314.19611914165705,133.661132027073,205.33859329275936,2794.5582871056904,3292.274215950209,WHP_min,168.36946305098542,164.50516887207158,97.7048723035105,0,5.0
fixed 5 psi (submitted),235.6122636437155,312.5152609892948,140.4345976504288,209.1676167865126,2882.8283713497012,3349.041481739153,WHP_min,140.48863528651384,135.17795136696586,96.21984802634226,0,5.0
fixed 5 psi (submitted),185.08553803344083,317.45707737104067,154.43694399591902,211.93352549215174,2867.7068503878704,3269.585958735184,FLP_min,158.53037749509798,151.23706805109765,95.39942466595977,0,5.0
fixed 5 psi (submitted),185.02441943380674,309.69161079317456,162.1023523786385,207.08926293250224,2929.0947814295296,3318.951242991554,FLP_min,147.1275105459773,138.6521615814062,94.2394532925081,0,5.0
fixed 5 psi (submitted),225.30708639360762,314.5538152706892,153.34809045729534,204.7576891500077,2927.973052727341,3289.8562103104873,BHP_min,148.1905882310845,145.35912886046242,98.08931228061073,0,5.0
fixed 5 psi (submitted),180.3706097270567,321.63497358350526,152.0641785297832,209.85352174888516,2887.483000462665,3337.9396316527723,BHP_min,157.5478633809813,154.66079469554745,98.1674974046126,0,5.0
fixed 5 psi (submitted),186.91673718471085,320.0761116714015,125.2639409512282,202.7426431843205,2834.17568103907,3306.7554070612982,BHP_min,169.88923429964765,168.52103658486072,99.1946530806221,0,5.0
fixed 5 psi (submitted),187.13790974487105,312.8087281211966,149.9446897449337,205.66195147298652,2891.699896657342,3284.6383143067414,BHP_min,156.5577073434215,155.20848373213292,99.13819406646716,0,5.0000000000000036
fixed 5 psi (submitted),188.6295163362554,322.4669953346546,151.7491251904822,206.44056039942143,2777.3534569635426,3349.5525608993466,FLP_min,162.1662684773797,155.20032371162642,95.70444283440798,0,5.0
fixed 5 psi (submitted),224.99734499557286,304.91827959623475,152.57206947720738,205.3345562957268,2933.023722977937,3362.730953141259,BHP_min,147.04539452486102,145.56907680152278,98.9960122667503,0,5.000000000000002
fixed 5 psi (submitted),196.42387021400378,328.1407895891341,126.00931024418539,202.772360217176,2798.380594229427,3359.8120125054825,WHP_min,172.80540443317972,169.06311140996087,97.83438889802436,0,5.0
fixed 5 psi (submitted),211.57008183009728,313.93126223682196,133.90133355088733,211.34700665539418,2773.4212816103186,3287.1011830607285,WHP_min,161.43279173498667,157.38752431810832,97.49414764286603,0,5.0000000000000036
