violating_intervals,worst_excursion_psi,rate_last30,offset,max_move,trial,scenario,gain_Q,gain_BHP,tau_Q,tau_BHP,worst_gain_err,worst_tau_err
0,0.0,149.96430961675375,-0.035256165887346924,5.0,12,B,0.7892584073394987,1.1934242965258424,0.9799879238078322,1.4235301597834695,0.28357728829377304,0.42353015978346953
0,0.0,164.0898552012094,-0.10076622141485814,5.0,12,C,0.7892584073394987,1.1934242965258424,0.9799879238078322,1.4235301597834695,0.28357728829377304,0.42353015978346953
0,0.0,149.94884241073973,-0.05143305515719021,5.0,13,B,0.8596781633753755,1.258610389588693,0.5405107111884346,0.5283653651135211,0.2586103895886931,0.47163463488647894
0,0.0,164.91311544900938,-0.25266482329595874,5.0,13,C,0.8596781633753755,1.258610389588693,0.5405107111884346,0.5283653651135211,0.2586103895886931,0.47163463488647894
0,0.0,150.08352051343311,0.07801130578090465,5.0,14,B,1.1315318636960443,1.0076552339572469,1.4291042207970062,0.5666900087671014,0.2904049622858569,0.43391750327592526
0,0.0,164.80233622346745,-0.09251415366998117,5.0,14,C,1.1315318636960443,1.0076552339572469,1.4291042207970062,0.5666900087671014,0.2904049622858569,0.43391750327592526
0,0.0,150.04848748731007,0.05128335639204806,5.0,15,B,0.9065859872824751,1.0373391053370742,0.7588645931709322,0.7258694284173244,0.27963724847044213,0.38811832065917984
0,0.0,164.89385040510686,-0.13124962439655974,5.0,15,C,0.9065859872824751,1.0373391053370742,0.7588645931709322,0.7258694284173244,0.27963724847044213,0.38811832065917984
0,0.0,149.9180009936867,-0.08200888175636578,5.0,16,B,0.7747328235011701,1.0324543013039607,1.3097107759127777,0.9128963426808927,0.22526717649882988,0.30971077591277774
0,0.0,164.99188641548983,-0.21885100970914095,5.0,16,C,0.7747328235011701,1.0324543013039607,1.3097107759127777,0.9128963426808927,0.22526717649882988,0.30971077591277774
0,0.0,150.03955508955158,0.04389552462325241,5.0,17,B,1.1908725825825464,0.9216426466550085,1.0526115105212872,0.6454735381865317,0.27544658561846536,0.35452646181346825
0,0.0,165.02134215702958,-0.1762953375569225,5.0,17,C,1.1908725825825464,0.9216426466550085,1.0526115105212872,0.6454735381865317,0.27544658561846536,0.35452646181346825
0,0.0,149.9573086429296,-0.03767744781569604,5.0,18,B,0.943906202048876,1.1936237681089013,0.9153840373712246,0.8650461577582707,0.27415986685907756,0.49004543919270804
0,0.0,165.12264069669584,-0.1668519950362395,5.0,18,C,0.943906202048876,1.1936237681089013,0.9153840373712246,0.8650461577582707,0.27415986685907756,0.49004543919270804
0,0.0,150.2282377608303,0.22548888435753156,5.0,19,B,0.7471780222993839,1.1215912423958718,1.4438014269420907,0.5594641516003385,0.2528219777006161,0.4438014269420907
12,1.158506831654904,164.79792216208244,0.07381751157683425,5.0,19,C,0.7471780222993839,1.1215912423958718,1.4438014269420907,0.5594641516003385,0.2528219777006161,0.4438014269420907
